symptoms,disease
"fever,nausea,sore throat",Cold
"vomiting,runny nose,chills",Malaria
"fever,vomiting,cough",Malaria
"chills,sore throat,cough",COVID-19
"weakness,vomiting,nausea",Malaria
"headache,cough,vomiting",Malaria
"muscle pain,body ache,cough",Malaria
"headache,muscle pain,chills",Flu
"nausea,sore throat,body ache",Malaria
"weakness,body ache,cough",Malaria
"nausea,fever,cough",COVID-19
"body ache,sore throat,weakness",Malaria
"weakness,body ache,sore throat",Malaria
"muscle pain,weakness,chills",Flu
"fever,chills,nausea",Flu
"nausea,fever,body ache",Malaria
"sore throat,vomiting,weakness",Malaria
"fever,muscle pain,vomiting",Flu
"cough,nausea,weakness",Malaria
"headache,fever,chills",Flu
"shortness of breath,vomiting,chills",COVID-19
"body ache,runny nose,weakness",Malaria
"sore throat,vomiting,cough",Malaria
"runny nose,body ache,fever",Malaria
"vomiting,nausea,sore throat",Malaria
"runny nose,nausea,sore throat",Allergy
"body ache,shortness of breath,cough",COVID-19
"muscle pain,nausea,shortness of breath",COVID-19
"nausea,fever,sore throat",Cold
"headache,nausea,cough",COVID-19
"nausea,cough,fever",COVID-19
"vomiting,body ache,sore throat",Malaria
"body ache,cough,sore throat",Malaria
"weakness,fever,headache",Flu
"sore throat,fever,body ache",Malaria
"runny nose,body ache,nausea",Malaria
"vomiting,weakness,headache",Malaria
"cough,nausea,chills",COVID-19
"weakness,sore throat,body ache",Malaria
"shortness of breath,vomiting,muscle pain",COVID-19
"nausea,weakness,sore throat",Malaria
"sore throat,chills,vomiting",Malaria
"cough,sore throat,muscle pain",COVID-19
"vomiting,nausea,cough",Malaria
"sore throat,weakness,headache",Malaria
"muscle pain,nausea,headache",Flu
"shortness of breath,sore throat,vomiting",COVID-19
"fever,vomiting,muscle pain",Flu
"chills,muscle pain,shortness of breath",Flu
"vomiting,cough,shortness of breath",COVID-19
"nausea,headache,fever",Flu
"body ache,runny nose,cough",Malaria
"muscle pain,fever,nausea",Flu
"vomiting,runny nose,body ache",Malaria
"cough,weakness,nausea",Malaria
"chills,muscle pain,vomiting",Flu
"shortness of breath,muscle pain,headache",Flu
"nausea,runny nose,body ache",Malaria
"shortness of breath,runny nose,muscle pain",COVID-19
"runny nose,body ache,weakness",Malaria
"muscle pain,chills,sore throat",Flu
"fever,muscle pain,body ache",Flu
"runny nose,weakness,fever",Malaria
"sore throat,nausea,weakness",Malaria
"cough,fever,headache",Flu
"body ache,nausea,weakness",Malaria
"sore throat,cough,runny nose",COVID-19
"sore throat,cough,shortness of breath",COVID-19
"runny nose,nausea,body ache",Malaria
"body ache,fever,headache",Flu
"vomiting,weakness,nausea",Malaria
"shortness of breath,headache,muscle pain",Flu
"body ache,nausea,weakness",Malaria
"vomiting,headache,weakness",Malaria
"chills,muscle pain,nausea",Flu
"runny nose,body ache,headache",Malaria
"cough,chills,headache",Flu
"sore throat,weakness,headache",Malaria
"weakness,sore throat,nausea",Malaria
"runny nose,headache,cough",Flu
"fever,sore throat,chills",Flu
"headache,nausea,runny nose",Allergy
"runny nose,muscle pain,fever",Flu
"nausea,shortness of breath,runny nose",COVID-19
"weakness,vomiting,chills",Malaria
"weakness,fever,nausea",Malaria
"nausea,sore throat,chills",Flu
"headache,nausea,chills",Flu
"sore throat,weakness,cough",Malaria
"weakness,sore throat,chills",Malaria
"headache,runny nose,muscle pain",Flu
"fever,vomiting,muscle pain",Flu
"shortness of breath,fever,muscle pain",Flu
"fever,cough,runny nose",COVID-19
"nausea,runny nose,headache",Flu
"muscle pain,body ache,shortness of breath",Malaria
"weakness,runny nose,headache",Flu
"body ache,muscle pain,chills",Flu
"sore throat,body ache,fever",Malaria
"vomiting,sore throat,headache",Malaria
"sore throat,shortness of breath,body ache",COVID-19
"shortness of breath,body ache,muscle pain",COVID-19
"sore throat,body ache,cough",Malaria
"muscle pain,headache,weakness",Flu
"fever,body ache,vomiting",Malaria
"body ache,fever,sore throat",Malaria
"weakness,shortness of breath,fever",COVID-19
"body ache,runny nose,muscle pain",Malaria
"nausea,body ache,sore throat",Malaria
"nausea,shortness of breath,weakness",Malaria
"body ache,shortness of breath,weakness",Malaria
"chills,nausea,sore throat",Flu
"nausea,vomiting,chills",Malaria
"weakness,body ache,sore throat",Malaria
"body ache,chills,runny nose",Malaria
"shortness of breath,muscle pain,weakness",COVID-19
"runny nose,nausea,chills",Flu
"body ache,vomiting,fever",Malaria
"sore throat,cough,nausea",COVID-19
"sore throat,shortness of breath,runny nose",COVID-19
"fever,headache,runny nose",Flu
"fever,body ache,sore throat",Malaria
"weakness,muscle pain,nausea",Malaria
"shortness of breath,body ache,weakness",Malaria
"nausea,shortness of breath,runny nose",COVID-19
"muscle pain,fever,runny nose",Flu
"runny nose,chills,weakness",Malaria
"runny nose,headache,body ache",Flu
"vomiting,runny nose,headache",Malaria
"fever,sore throat,headache",Flu
"nausea,fever,body ache",Malaria
"chills,fever,cough",Flu
"weakness,muscle pain,runny nose",Malaria
"sore throat,runny nose,nausea",Allergy
"cough,body ache,sore throat",Malaria
"fever,nausea,muscle pain",Flu
"nausea,fever,muscle pain",Flu
"muscle pain,body ache,weakness",Malaria
"sore throat,cough,body ache",Malaria
"nausea,shortness of breath,body ache",Malaria
"shortness of breath,headache,nausea",COVID-19
"vomiting,shortness of breath,weakness",Malaria
"cough,vomiting,muscle pain",Malaria
"headache,weakness,nausea",Malaria
"muscle pain,fever,vomiting",Flu
"muscle pain,body ache,nausea",Malaria
"weakness,shortness of breath,muscle pain",COVID-19
"weakness,muscle pain,vomiting",Malaria
"nausea,muscle pain,body ache",Malaria
"headache,nausea,cough",COVID-19
"cough,body ache,chills",Malaria
"vomiting,sore throat,runny nose",Malaria
"sore throat,cough,muscle pain",COVID-19
"sore throat,chills,muscle pain",Flu
"nausea,headache,sore throat",Flu
"fever,sore throat,cough",COVID-19
"vomiting,fever,chills",Flu
"sore throat,headache,runny nose",Allergy
"headache,cough,shortness of breath",COVID-19
"headache,shortness of breath,body ache",COVID-19
"fever,headache,nausea",Flu
"headache,vomiting,nausea",Malaria
"shortness of breath,muscle pain,fever",Flu
"headache,body ache,muscle pain",Flu
"headache,body ache,weakness",Malaria
"body ache,cough,muscle pain",Malaria
"shortness of breath,vomiting,muscle pain",COVID-19
"runny nose,shortness of breath,fever",COVID-19
"runny nose,headache,shortness of breath",Flu
"chills,body ache,vomiting",Malaria
"chills,nausea,muscle pain",Flu
"weakness,body ache,shortness of breath",Malaria
"cough,runny nose,chills",COVID-19
"cough,muscle pain,nausea",COVID-19
"headache,body ache,weakness",Malaria
"cough,weakness,runny nose",COVID-19
"weakness,headache,sore throat",Malaria
"nausea,body ache,vomiting",Malaria
"fever,chills,cough",Flu
"sore throat,muscle pain,nausea",Flu
"shortness of breath,chills,muscle pain",Flu
"fever,muscle pain,weakness",Flu
"sore throat,nausea,weakness",Malaria
"chills,shortness of breath,cough",COVID-19
"runny nose,fever,headache",Flu
"body ache,runny nose,nausea",Malaria
"weakness,runny nose,headache",Flu
"headache,sore throat,chills",Flu
"body ache,chills,weakness",Malaria
"sore throat,runny nose,muscle pain",Flu
"weakness,headache,chills",Flu
"muscle pain,nausea,vomiting",Malaria
"chills,body ache,shortness of breath",Malaria
"fever,muscle pain,headache",Flu
"nausea,chills,cough",COVID-19
"fever,chills,runny nose",Flu
"vomiting,body ache,headache",Malaria
"shortness of breath,weakness,runny nose",COVID-19
"weakness,cough,chills",Malaria
"chills,sore throat,headache",Flu
"cough,weakness,muscle pain",COVID-19
"chills,fever,body ache",Flu
"chills,cough,weakness",COVID-19
"weakness,fever,runny nose",Malaria
"body ache,sore throat,chills",Malaria
"fever,shortness of breath,chills",Flu
"chills,runny nose,cough",Allergy
"fever,runny nose,sore throat",Cold
"chills,nausea,fever",Flu
"nausea,shortness of breath,fever",COVID-19
"weakness,runny nose,vomiting",Malaria
"muscle pain,weakness,cough",Flu
"sore throat,body ache,nausea",Malaria
"cough,body ache,vomiting",Malaria
"chills,runny nose,weakness",Allergy
"weakness,muscle pain,sore throat",Malaria
"weakness,shortness of breath,sore throat",COVID-19
"chills,headache,runny nose",Flu
"weakness,vomiting,body ache",Malaria
"headache,nausea,sore throat",Flu
"muscle pain,nausea,runny nose",Flu
"weakness,headache,muscle pain",Flu
"chills,vomiting,runny nose",Malaria
"cough,body ache,headache",Malaria
"cough,runny nose,headache",Flu
"sore throat,weakness,shortness of breath",COVID-19
"shortness of breath,headache,weakness",COVID-19
"nausea,chills,muscle pain",Flu
"chills,muscle pain,sore throat",Flu
"runny nose,body ache,sore throat",Malaria
"shortness of breath,fever,headache",Flu
"sore throat,body ache,runny nose",Malaria
"muscle pain,vomiting,headache",Flu
"cough,weakness,nausea",Malaria
"weakness,body ache,runny nose",Malaria
"nausea,shortness of breath,fever",COVID-19
"vomiting,nausea,shortness of breath",Malaria
"chills,nausea,body ache",Malaria
"cough,chills,runny nose",Allergy
"chills,runny nose,body ache",Allergy
"chills,weakness,muscle pain",Flu
"fever,shortness of breath,nausea",COVID-19
"sore throat,fever,headache",Flu
"vomiting,weakness,shortness of breath",Malaria
"fever,muscle pain,nausea",Flu
"runny nose,cough,muscle pain",COVID-19
"fever,weakness,shortness of breath",COVID-19
"muscle pain,headache,cough",Flu
"cough,muscle pain,body ache",Malaria
"fever,vomiting,chills",Flu
"sore throat,runny nose,muscle pain",Flu
"cough,headache,weakness",COVID-19
"chills,headache,runny nose",Flu
"cough,nausea,runny nose",COVID-19
"fever,runny nose,weakness",Malaria
"muscle pain,nausea,runny nose",Flu
"weakness,sore throat,vomiting",Malaria
"sore throat,fever,weakness",Malaria
"runny nose,shortness of breath,nausea",COVID-19
"muscle pain,chills,headache",Flu
"sore throat,muscle pain,fever",Flu
"weakness,body ache,chills",Malaria
"chills,muscle pain,nausea",Flu
"body ache,chills,nausea",Malaria
"weakness,muscle pain,headache",Flu
"runny nose,fever,nausea",Allergy
"body ache,cough,fever",Malaria
"headache,chills,vomiting",Flu
"cough,chills,sore throat",COVID-19
"weakness,vomiting,runny nose",Malaria
"chills,fever,vomiting",Flu
"muscle pain,shortness of breath,runny nose",COVID-19
"muscle pain,runny nose,cough",Flu
"nausea,cough,fever",COVID-19
"fever,nausea,vomiting",Malaria
"muscle pain,cough,nausea",Flu
"chills,cough,body ache",Malaria
"fever,nausea,chills",Flu
"nausea,fever,sore throat",Cold
"runny nose,nausea,body ache",Malaria
"vomiting,nausea,sore throat",Malaria
"weakness,runny nose,body ache",Malaria
"chills,sore throat,runny nose",Allergy
"shortness of breath,fever,headache",Flu
"nausea,runny nose,cough",COVID-19
"headache,cough,muscle pain",Flu
"vomiting,cough,chills",Malaria
"weakness,runny nose,chills",Malaria
"shortness of breath,vomiting,weakness",Malaria
"nausea,body ache,headache",Malaria
"vomiting,sore throat,headache",Malaria
"cough,vomiting,runny nose",Malaria
"runny nose,muscle pain,weakness",Flu
"nausea,vomiting,cough",Malaria
"vomiting,nausea,chills",Malaria
"chills,vomiting,headache",Flu
"fever,sore throat,weakness",Malaria
"shortness of breath,vomiting,chills",COVID-19
"muscle pain,runny nose,weakness",Flu
"chills,headache,shortness of breath",Flu
"nausea,muscle pain,weakness",Malaria
"nausea,shortness of breath,runny nose",COVID-19
"weakness,body ache,chills",Malaria
"body ache,nausea,cough",Malaria
"chills,runny nose,cough",Allergy
"weakness,headache,chills",Flu
"muscle pain,nausea,chills",Flu
"body ache,muscle pain,runny nose",Malaria
"shortness of breath,vomiting,chills",COVID-19
"chills,headache,fever",Flu
"vomiting,cough,body ache",Malaria
"vomiting,muscle pain,shortness of breath",Malaria
"sore throat,chills,fever",Flu
"runny nose,chills,body ache",Malaria
"body ache,nausea,shortness of breath",Malaria
"weakness,sore throat,fever",Malaria
"body ache,weakness,sore throat",Malaria
"vomiting,body ache,cough",Malaria
"shortness of breath,chills,runny nose",COVID-19
"shortness of breath,headache,sore throat",COVID-19
"headache,fever,vomiting",Flu
"muscle pain,body ache,fever",Flu
"runny nose,weakness,fever",Malaria
"chills,nausea,body ache",Malaria
"nausea,runny nose,shortness of breath",COVID-19
"shortness of breath,fever,chills",Flu
"headache,runny nose,nausea",Allergy
"shortness of breath,fever,muscle pain",Flu
"headache,body ache,fever",Flu
"sore throat,fever,chills",Flu
"fever,runny nose,chills",Flu
"body ache,shortness of breath,vomiting",Malaria
"cough,muscle pain,body ache",Malaria
"nausea,shortness of breath,sore throat",COVID-19
"vomiting,sore throat,body ache",Malaria
"shortness of breath,runny nose,weakness",COVID-19
"weakness,headache,muscle pain",Flu
"chills,cough,sore throat",COVID-19
"cough,nausea,body ache",Malaria
"weakness,sore throat,vomiting",Malaria
"headache,body ache,chills",Flu
"sore throat,shortness of breath,body ache",COVID-19
"body ache,headache,runny nose",Malaria
"chills,cough,headache",Flu
"shortness of breath,nausea,vomiting",Malaria
"nausea,runny nose,shortness of breath",COVID-19
"runny nose,vomiting,nausea",Malaria
"shortness of breath,runny nose,cough",COVID-19
"fever,shortness of breath,nausea",COVID-19
"runny nose,chills,fever",Flu
"fever,sore throat,muscle pain",Flu
"vomiting,runny nose,cough",Malaria
"nausea,body ache,headache",Malaria
"nausea,weakness,vomiting",Malaria
"shortness of breath,runny nose,fever",COVID-19
"runny nose,chills,nausea",Flu
"body ache,vomiting,fever",Malaria
"vomiting,headache,fever",Flu
"weakness,cough,muscle pain",Malaria
"sore throat,muscle pain,weakness",Flu
"nausea,fever,chills",Flu
"nausea,vomiting,weakness",Malaria
"body ache,chills,headache",Flu
"shortness of breath,nausea,body ache",Malaria
"headache,sore throat,cough",COVID-19
"muscle pain,headache,sore throat",Flu
"cough,vomiting,nausea",Malaria
"fever,nausea,body ache",Malaria
"nausea,fever,weakness",Malaria
"runny nose,sore throat,nausea",Allergy
"muscle pain,headache,fever",Flu
"weakness,chills,nausea",Malaria
"body ache,muscle pain,weakness",Malaria
"muscle pain,body ache,weakness",Malaria
"headache,vomiting,chills",Flu
"headache,sore throat,fever",Flu
"body ache,fever,runny nose",Malaria
"cough,headache,sore throat",COVID-19
"nausea,cough,weakness",Malaria
"weakness,vomiting,shortness of breath",Malaria
"cough,fever,muscle pain",Flu
"runny nose,nausea,sore throat",Allergy
"cough,runny nose,shortness of breath",COVID-19
"chills,headache,fever",Flu
"chills,vomiting,runny nose",Malaria
"shortness of breath,headache,cough",COVID-19
"chills,nausea,sore throat",Flu
"cough,sore throat,fever",COVID-19
"vomiting,fever,shortness of breath",Malaria
"runny nose,muscle pain,sore throat",Flu
"fever,chills,muscle pain",Flu
"fever,cough,body ache",Malaria
"vomiting,muscle pain,nausea",Malaria
"nausea,headache,chills",Flu
"weakness,shortness of breath,runny nose",COVID-19
"sore throat,fever,chills",Flu
"chills,vomiting,muscle pain",Flu
"muscle pain,headache,weakness",Flu
"sore throat,fever,body ache",Malaria
"headache,body ache,weakness",Malaria
"sore throat,headache,nausea",Flu
"muscle pain,weakness,vomiting",Malaria
"cough,headache,nausea",COVID-19
"chills,weakness,runny nose",Allergy
"vomiting,headache,muscle pain",Flu
"muscle pain,shortness of breath,cough",COVID-19
"sore throat,fever,shortness of breath",COVID-19
"headache,body ache,weakness",Malaria
"headache,muscle pain,body ache",Flu
"weakness,sore throat,nausea",Malaria
"fever,chills,runny nose",Flu
"cough,nausea,runny nose",COVID-19
"fever,runny nose,nausea",Allergy
"weakness,fever,sore throat",Malaria
"vomiting,chills,headache",Flu
"body ache,shortness of breath,muscle pain",Malaria
"sore throat,fever,weakness",Malaria
"fever,shortness of breath,weakness",COVID-19
"sore throat,chills,weakness",Malaria
"sore throat,cough,weakness",COVID-19
"cough,muscle pain,chills",Flu
"sore throat,body ache,cough",Malaria
"shortness of breath,vomiting,chills",COVID-19
"sore throat,nausea,headache",Flu
"runny nose,vomiting,body ache",Malaria
"vomiting,body ache,sore throat",Malaria
"chills,headache,body ache",Flu
"nausea,muscle pain,body ache",Malaria
"nausea,sore throat,muscle pain",Flu
"vomiting,fever,headache",Flu
"chills,vomiting,runny nose",Malaria
"nausea,cough,runny nose",COVID-19
"body ache,vomiting,fever",Malaria
"headache,sore throat,nausea",Flu
"weakness,sore throat,muscle pain",Malaria
"nausea,chills,body ache",Malaria
"nausea,runny nose,fever",Allergy
"headache,runny nose,muscle pain",Flu
"weakness,chills,fever",Flu
